Adri,Adrián,m,
Adri,Adriano,m,
Adri,Adriana,f,
Ale,Alejandra,f,
Ale,Alejandro,m,Argentina
Aleja,Alejandra,f,
Alejo,Alejandro,m,
Álex,Alejandro,m,
Ali,Alicia,f,
Almu,Almudena,f,
Anabel,Ana Belén,f,
Anabel,Ana Isabel,f,
Anaisa,Ana Isabel,f,
Angelita,María de los Ángeles,f,
Angelita,Ángela,f,
Asun,Asunción,f,
Bas,Sebastián,m,
Bea,Beatriz,f,
Berna,Bernabé,m,
Berni,Bernardo,f,
Berta,Alberta,f,
Berta,Humberta,f,
Berta,Norberta,f,
Berta,Roberta,f,
Berta,Rigoberta,f,
Bertín,Humberto,m,
Bertín,Norberto,m,
Bertín,Roberto,m,
Bertín,Rigoberto,m,
Bertín,Alberto,m,
Berto,Rigoberto,m,
Berto,Roberto,m,
Berto,Norberto,m,
Berto,Humberto,m,
Berto,Alberto,m,
Beti,Beatriz,f,
Beto,Alberto,m,
Beto,Humberto,m,
Beto,Norberto,m,
Beto,Roberto,m,
Beto,Rigoberto,m,
Boni,Bonifacio,m,
Cacho,Carlos,m,
Camucha,Carmen,f,
Carmela,Carmen,f,
Carmelina,Carmen,f,
Carmelita,Carmen,f,
Carmencho,Carmen,f,
Carmenchu,Carmen,f,
Carmenza,Carmen,f,
Carmina,Carmen,f,
Carmiña,Carmen,f,
Carmucha,Carmen,f,
Caro,Carolina,f,
Caro,Carola,f,
Carol,Carolina,f,
Cata,Catalina,f,
Cati,Catalina,f,
Chabela,Isabel,f,
Chago,Santiago,m,Mexico
Chale,Carlos,m,
Charo,Rosario,f,
Chava,Salvador,m,
Chavena,Isabel,f,Mexico
Chayo,Rosario,f,Mexico
Chebo,Eusebio,m,
Cheché,José,m,
Cheché,María José,f,
Checho,Sergio,m,
Checo,Sergio,m,
Chela,Graciela,f,
Chela,Marcela,f,
Chela,Araceli,f,
Chelo,Consuelo,f,
Chelo,Marcelo,m,
Chema,José María,m,
Chendo,Rosendo,m,
Chente,Vicente,m,
Cheo,José,m,
Chepa,Josefa,f,
Chepina,Josefina,f,
Chía,Lucía,f,
Chicha,Francisca,f,
Chicha,María Luisa,f,
Chicho,Francisco,m,
Chicho,Narciso,m,
Chimo,Joaquín,m,
Chío,Cecilio,m,
Chío,Rocío,f,
Chon,Ascensión,f,
Chon,Asunción,f,
Chucho,Jesús,m,
Chus,Jesús,m,
Chus,María Jesús,f,
Chuy,Jesús,m,
Coco,Jorge,m,
Conce,Concepción,f,
Concha,Concepción,f,
Conchi,Concepción,f,
Conchita,Concepción,f,
Concho,Consuelo,f,
Coni,Concepción,f,
Coni,Consuelo,f,
Coni,Constanza,f,
Coque,Jorge,m,
Cris,Cristóbal,m,
Cris,Cristina,m,
Cuca,María del Refugio,f,Mexico
Cuco,Refugio,m,
Curro,Francisco,m,
Dago,Dagoberto,m,
Dani,Daniel,m,
Dani,Daniela,f,
Dora,Teodora,f,
Dora,Dorotea,f,
Edu,Eduardo,m,
Encarna,Encarnación,f,
Eli,Elisabeth,f,
Eli,Elisenda,f,
Fallo,Rafael,m,
Fede,Federico,m,
Feli,Felipe,m,
Feli,Félix,m,
Feli,Feliciano,m,
Feli,Felisa,f,
Fer,Fernando,m,
Fina,Josefina,f,
Fina,Delfina,f,
Fina,Serafina,f,
Fito,Adolfo,m,
Fito,Rodolfo,m,
Flor,Florencia,f,
Flora,Florencia,f,
Fonsi,Alfonso,m,
Franc,Franco,m,
Franc,Francisco,m,
Frasco,Frasquito,m,
Frasco,Francisco,m,
Frasquita,Francisca,f,
Froi,Froilán,m,
Fucho,Rafael,m,
Gabi,Gabriel,m,
Gabi,Gabriela,f,
Gapi,Agapito,m,
Gelen,Ángeles,f,
Gelen,María de los Ángeles,f,
Goyo,Gregorio,m,
Güicho,Luis,m,
Guille,Guillermo,m,
Guillo,Guillermo,m,
Inma,Inmaculada,f,
Isa,Isabel,f,
Isma,Ismael,m,
Isra,Israel,m,
Ivi,Iván,m,
